"VNUM","LOCALE_NAME"
"1","Yang"
"2","Exp"
"10","Kılıç+0"
"11","Kılıç+1"
"12","Kılıç+2"
"13","Kılıç+3"
"14","Kılıç+4"
"15","Kılıç+5"
"16","Kılıç+6"
"17","Kılıç+7"
"18","Kılıç+8"
"19","Kılıç+9"
"20","Uzun Kılıç+0"
"21","Uzun Kılıç+1"
"22","Uzun Kılıç+2"
"23","Uzun Kılıç+3"
"24","Uzun Kılıç+4"
"25","Uzun Kılıç+5"
"26","Uzun Kılıç+6"
"27","Uzun Kılıç+7"
"28","Uzun Kılıç+8"
"29","Uzun Kılıç+9"
"30","Hilal Kılıç+0"
"31","Hilal Kılıç+1"
"32","Hilal Kılıç+2"
"33","Hilal Kılıç+3"
"34","Hilal Kılıç+4"
"35","Hilal Kılıç+5"
"36","Hilal Kılıç+6"
"37","Hilal Kılıç+7"
"38","Hilal Kılıç+8"
"39","Hilal Kılıç+9"
"40","Bambu Kılıcı+0"
"41","Bambu Kılıcı+1"
"42","Bambu Kılıcı+2"
"43","Bambu Kılıcı+3"
"44","Bambu Kılıcı+4"
"45","Bambu Kılıcı+5"
"46","Bambu Kılıcı+6"
"47","Bambu Kılıcı+7"
"48","Bambu Kılıcı+8"
"49","Bambu Kılıcı+9"
"50","Geniş Kılıç+1"
"51","Geniş Kılıç+1"
"52","Geniş Kılıç+2"
"53","Geniş Kılıç+3"
"54","Geniş Kılıç+4"
"55","Geniş Kılıç+5"
"56","Geniş Kılıç+6"
"57","Geniş Kılıç+7"
"58","Geniş Kılıç+8"
"59","Geniş Kılıç+9"
"60","Gümüş Kılıç+0"
"61","Gümüş Kılıç+1"
"62","Gümüş Kılıç+2"
"63","Gümüş Kılıç+3"
"64","Gümüş Kılıç+4"
"65","Gümüş Kılıç+5"
"66","Gümüş Kılıç+6"
"67","Gümüş Kılıç+7"
"68","Gümüş Kılıç+8"
"69","Gümüş Kılıç+9"
"70","Orkide Kılıcı+0"
"71","Orkide Kılıcı+1"
"72","Orkide Kılıcı+2"
"73","Orkide Kılıcı+3"
"74","Orkide Kılıcı+4"
"75","Orkide Kılıcı+5"
"76","Orkide Kılıcı+6"
"77","Orkide Kılıcı+7"
"78","Orkide Kılıcı+8"
"79","Orkide Kılıcı+9"
"80","Sahte Kılıç+0"
"81","Sahte Kılıç+1"
"82","Sahte Kılıç+2"
"83","Sahte Kılıç+3"
"84","Sahte Kılıç+4"
"85","Sahte Kılıç+5"
"86","Sahte Kılıç+6"
"87","Sahte Kılıç+7"
"88","Sahte Kılıç+8"
"89","Sahte Kılıç+9"
"90","Barbar Kılıcı+0"
"91","Barbar Kılıcı+1"
"92","Barbar Kılıcı+2"
"93","Barbar Kılıcı+3"
"94","Barbar Kılıcı+4"
"95","Barbar Kılıcı+5"
"96","Barbar Kılıcı+6"
"97","Barbar Kılıcı+7"
"98","Barbar Kılıcı+8"
"99","Barbar Kılıcı+9"
"100","Kanlı Kılıç+0"
"101","Kanlı Kılıç+1"
"102","Kanlı Kılıç+2"
"103","Kanlı Kılıç+3"
"104","Kanlı Kılıç+4"
"105","Kanlı Kılıç+5"
"106","Kanlı Kılıç+6"
"107","Kanlı Kılıç+7"
"108","Kanlı Kılıç+8"
"109","Kanlı Kılıç+9"
"110","Büyük Kılıç+0"
"111","Büyük Kılıç+1"
"112","Büyük Kılıç+2"
"113","Büyük Kılıç+3"
"114","Büyük Kılıç+4"
"115","Büyük Kılıç+5"
"116","Büyük Kılıç+6"
"117","Büyük Kılıç+7"
"118","Büyük Kılıç+8"
"119","Büyük Kılıç+9"
"120","Uçan Büyücü Kılıcı+0"
"121","Uçan Büyücü Kılıcı+1"
"122","Uçan Büyücü Kılıcı+2"
"123","Uçan Büyücü Kılıcı+3"
"124","Uçan Büyücü Kılıcı+4"
"125","Uçan Büyücü Kılıcı+5"
"126","Uçan Büyücü Kılıcı+6"
"127","Uçan Büyücü Kılıcı+7"
"128","Uçan Büyücü Kılıcı+8"
"129","Uçan Büyücü Kılıcı+9"
"130","Yarımay Kılıcı+0"
"131","Yarımay Kılıcı+1"
"132","Yarımay Kılıcı+2"
"133","Yarımay Kılıcı+3"
"134","Yarımay Kılıcı+4"
"135","Yarımay Kılıcı+5"
"136","Yarımay Kılıcı+6"
"137","Yarımay Kılıcı+7"
"138","Yarımay Kılıcı+8"
"139","Yarımay Kılıcı+9"
"140","Muharebe Kılıcı+0"
"141","Muharebe Kılıcı+1"
"142","Muharebe Kılıcı+2"
"143","Muharebe Kılıcı+3"
"144","Muharebe Kılıcı+4"
"145","Muharebe Kılıcı+5"
"146","Muharebe Kılıcı+6"
"147","Muharebe Kılıcı+7"
"148","Muharebe Kılıcı+8"
"149","Muharebe Kılıcı+9"
"150","Hortlak Dişi Kılıcı+0"
